"group","name","units","upperLimit","lowerLimit","relaxedUpperLimit","relaxedLowerLimit","pattern","materialKey","materialValue"
"PVTE","Set_DAC_for_VBoost_Out_6.7V_1","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap","match","","","","","*","",""
"PVTE","Enable_inverter_at_326kHz","match","","","","","*","",""
"PVTE","Set_frequency_to_326kHz_and_17%_duty_cycle","match","","","","","*","",""
"PVTE","Check_TX_boost_on_1","match","","","","","*","",""
"PVTE","Read_TX_current(average_from_10_measurements)","match","","","","","*","",""
"PVTE","Set_RX_load_to_50mA(CV)","match","","","","","*","",""
"PVTE","dummy_load_off_Step1_50mA(CV)","match","","","","","*","",""
"PVTE","dummy_load_off_Step2_50mA(CV)","match","","","","","*","",""
"PVTE","Set_Vrect_control_mode_50mA","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)_BPA","","","","","","","",""
"PVTE","Set_Vrect_4.5V_1_50mA(CV)_SBU","","","","","","","",""
"PVTE","mute_ASK_50mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_50mA","V","4.8","4.3","","","","",""
"PVTE","read_RX_current_Irec_50mA","A","0.055","0.045","","","","",""
"PVTE","Read_TX_boost_voltage_50mA","match","","","","","*","",""
"PVTE","read_TX_voltage_50mA","V","5.01","4.99","","","","",""
"PVTE","read_TX_voltage_50mA_VBC","V","","","","","","",""
"PVTE","read_TX_current_50mA","A","0.203","0.165","","","","",""
"PVTE","read_TX_current_50mA_IG3","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_50mA","%","27.2","22.1","","","","",""
"PVTE","Calculate_Prect_50mA","W","0.264","0.194","","","","",""
"PVTE","Read_TX_duty_cycle_50mA","%","","","","","","",""
"PVTE","unmute_ASK_50mA","match","","","","","*","",""
"PVTE","Measure_board_temperature_50mA","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_50mA","match","","","","","*","",""
"PVTE","Switching_in_comm_cap_50mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_50mA_2","V","","","","","","",""
"PVTE","read_RX_current_Irec_50mA_2","A","","","","","","",""
"PVTE","read_TX_voltage_50mA_2","V","","","","","","",""
"PVTE","read_TX_current_50mA_2","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_50mA_2","%","","","","","","",""
"PVTE","Default_comm_cap_50mA","match","","","","","*","",""
"PVTE","set_RX_load_to_245mA_0.7C","match","","","","","*","",""
"PVTE","dummy_load_off_Step1_245mA_0.7C","match","","","","","*","",""
"PVTE","dummy_load_off_Step2_245mA_0.7C","match","","","","","*","",""
"PVTE","Set_Vrect_control_mode_245mA","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_2_245mA_0.7C","match","","","","","*","",""
"PVTE","Read_TX_boost_votlage_245mA_0.7C_BPA","","","","","","","",""
"PVTE","Read_TX_boost_votlage_245mA_0.7C_SBU","","","","","","","",""
"PVTE","mute_ASK_245mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_245mA","V","4.8","4.3","","","","",""
"PVTE","read_RX_current_Irec_245mA","A","0.25","0.24","","","","",""
"PVTE","Read_TX_boost_voltage_245mA","match","","","","","*","",""
"PVTE","read_TX_voltage_245mA","V","5.01","4.99","","","","",""
"PVTE","read_TX_voltage_245mA_VBC","V","","","","","","",""
"PVTE","read_TX_current_245mA","A","0.679","0.45","","","","",""
"PVTE","read_TX_current_245mA_IG3","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_245mA","%","45.8","32.4","","","","",""
"PVTE","Calculate_Prect_245mA","W","1.2","1.032","","","","",""
"PVTE","Read_TX_duty_cycle_245mA","%","","","","","","",""
"PVTE","unmute_ASK_245mA","match","","","","","*","",""
"PVTE","Measure_board_temperature_245mA","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_245mA","match","","","","","*","",""
"PVTE","Switching_in_comm_cap_245mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_245mA_2","V","","","","","","",""
"PVTE","read_RX_current_Irec_245mA_2","A","","","","","","",""
"PVTE","read_TX_voltage_245mA_2","V","","","","","","",""
"PVTE","read_TX_current_245mA_2","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_245mA_2","%","","","","","","",""
"PVTE","Default_comm_cap_245mA","match","","","","","*","",""
"PVTE","set_RX_load_to_350mA_1C","match","","","","","*","",""
"PVTE","dummy_load_off_Step1_350mA_1C","match","","","","","*","",""
"PVTE","dummy_load_off_Step2_350mA_1C","match","","","","","*","",""
"PVTE","Set_Vrect_control_mode_350mA","match","","","","","*","",""
"PVTE","Set_Vrect_4.5V_3_350mA_1C","match","","","","","*","",""
"PVTE","Read_TX_boost_votlage_350mA_1C_BPA","","","","","","","",""
"PVTE","Read_TX_boost_votlage_350mA_1C_SBU","","","","","","","",""
"PVTE","mute_ASK_350mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_350mA","V","4.7","4.3","","","","",""
"PVTE","read_RX_current_Irec_350mA","A","0.355","0.345","","","","",""
"PVTE","Read_TX_boost_voltage_350mA","match","","","","","*","",""
"PVTE","read_TX_voltage_350mA","V","5.01","4.99","","","","",""
"PVTE","read_TX_voltage_350mA_VBC","V","","","","","","",""
"PVTE","read_TX_current_350mA","A","1.061","0.688","","","","",""
"PVTE","read_TX_current_350mA_IG3","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_350mA","%","45.9","29.6","","","","",""
"PVTE","Calculate_Prect_350mA","W","1.669","1.484","","","","",""
"PVTE","Read_TX_duty_cycle_350mA","%","","","","","","",""
"PVTE","unmute_ASK_350mA","match","","","","","*","",""
"PVTE","Measure_board_temperature_350mA_1C","match","","","","","*","",""
"PVTE","set_RX_load_to_50mA_CV_ASK","match","","","","","*","",""
"PVTE","Set_RX_to_test_mode_50mA_ASK","match","","","","","*","",""
"PVTE","Set_TX_inverter_mode_to_LF_50mA_ASK","match","","","","","*","",""
"PVTE","System_Reset_50mA_ASK","match","","","","","*","",""
"PVTE","Reopen_DUT_Port_50mA_ASK","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap_50mA_ASK","match","","","","","*","",""
"PVTE","Set_boost_voltage_to_6.7V_50mA_ASK","match","","","","","*","",""
"PVTE","Enable_Boost_50mA_ASK","match","","","","","*","",""
"PVTE","Enable_inverter_at_326kHz_50mA_ASK","match","","","","","*","",""
"PVTE","Set_duty_cycle_50mA_ASK","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_50mA_ASK","match","","","","","*","",""
"PVTE","Clear_serialiser_module_50mA_ASK","match","","","","","*","",""
"PVTE","Enable_serialiser_module_50mA_ASK","match","","","","","*","",""
"PVTE","Set_comm_rate_to_4kHz_50mA_ASK","match","","","","","*","",""
"PVTE","send_TX_com_to_wait_decode_packet_50mA_ASK","match","","","","","*","",""
"PVTE","flip_comm_cap_on_off_50mA_ASK","match","","","","","*","",""
"PVTE","Validate_ASKDP_50mA_ASK","","","","","","","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_350mA","match","","","","","*","",""
"PVTE","Switching_in_comm_cap_350mA","match","","","","","*","",""
"PVTE","read_RX_Vrec_350mA_2","V","","","","","","",""
"PVTE","read_RX_current_Irec_350mA_2","A","","","","","","",""
"PVTE","read_TX_voltage_350mA_2","V","","","","","","",""
"PVTE","read_TX_current_350mA_2","A","","","","","","",""
"PVTE","Calculate_DC-DC_efficiency_350mA_2","%","","","","","","",""
"PVTE","Default_comm_cap_350mA","match","","","","","*","",""
"PVTE","Disable_TX_Inverter_after","match","","","","","*","",""
"PVTE","set_RX_load_to_50mA","match","","","","","*","",""
"PVTE","Enable_Inverter_at_326kHz_after_50mA","match","","","","","*","",""
"PVTE","Set_DAC_for_VBoost_Out_6.7V_3","match","","","","","*","",""
"PVTE","Set_frequency_to_326kHz_15%_duty_ping_test","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap_2","match","","","","","*","",""
"PVTE","Read_RX_Vrect_15%_duty_cycle_ping_test","","","","","","","",""
"PVTE","Set_frequency_to_326kHz_20%_duty_ping_test","match","","","","","*","",""
"PVTE","Read_RX_Vrect_20%_duty_cycle_ping_test","","","","","","","",""
"PVTE","Enable_ACP_ADC_polarity","match","","","","","*","",""
"PVTE","Set_frequency_to_326kHz_and_20%_duty_cycle","match","","","","","*","",""
"PVTE","Disable_ASK","match","","","","","*","",""
"PVTE","Read_RX_Vrec_20%_duty_cycle_polarity","","","","","","","",""
"PVTE","Measure_Normal_ACP1_voltage","","","","","","","",""
"PVTE","Calculate_Normal_ACP1_Loop_Test","match","","","","","*","",""
"PVTE","Set_frequency_to_326kHz_and_80%_duty_cycle","match","","","","","*","",""
"PVTE","Read_RX_Vrec_80%_duty_cycle_polarity","","","","","","","",""
"PVTE","Measure_Flipped_ACP1_voltage","","","","","","","",""
"PVTE","Calculate_Flipped_ACP1_Loop_Test","match","","","","","*","",""
"PVTE","Difference_between_Normal_&_Flipped_ACP1","","0","-2","","","","",""
"PVTE","Disable_ACP_ADC","match","","","","","*","",""
"PVTE","close_DUT_serial_port","match","","","","","*","",""
"PVTE","set_DUT_power_to_0V","match","","","","","*","",""
"PVTE","turn_off_DUT_power","match","","","","","*","",""
"PVTE","set_RX_load_to_0mA_1","match","","","","","*","",""
"PVTE","Fixture_Solt","","","","","","","",""
"PVTE","LOOP_Test_ASKDP_50mA_ASK","match","","","","","*","",""
"PVTE","LOOP_Test_ASKDP_245mA_ASK","match","","","","","*","",""
"PVTE","LOOP_Test_ASKDP_350mA_ASK","match","","","","","*","",""
"PVTE","set_RX_load_to_245mA_ASK","match","","","","","*","",""
"PVTE","Set_RX_to_test_mode_245mA_ASK","match","","","","","*","",""
"PVTE","Set_TX_inverter_mode_to_LF_245mA_ASK","match","","","","","*","",""
"PVTE","System_Reset_245mA_ASK","match","","","","","*","",""
"PVTE","Reopen_DUT_Port_245mA_ASK","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap_245mA_ASK","match","","","","","*","",""
"PVTE","Set_boost_voltage_to_6.7V_245mA_ASK","match","","","","","*","",""
"PVTE","Enable_Boost_245mA_ASK","match","","","","","*","",""
"PVTE","Enable_inverter_at_326kHz_245mA_ASK","match","","","","","*","",""
"PVTE","Set_duty_cycle_245mA_ASK","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_245mA_ASK","match","","","","","*","",""
"PVTE","Clear_serialiser_module_245mA_ASK","match","","","","","*","",""
"PVTE","Enable_serialiser_module_245mA_ASK","match","","","","","*","",""
"PVTE","Set_comm_rate_to_4kHz_245mA_ASK","match","","","","","*","",""
"PVTE","send_TX_com_to_wait_decode_packet_245mA_ASK","match","","","","","*","",""
"PVTE","flip_comm_cap_on_off_245mA_ASK","match","","","","","*","",""
"PVTE","Validate_ASKDP_245mA_ASK","","","","","","","",""
"PVTE","set_RX_load_to_350mA_ASK","match","","","","","*","",""
"PVTE","Set_RX_to_test_mode_350mA_ASK","match","","","","","*","",""
"PVTE","Set_TX_inverter_mode_to_LF_350mA_ASK","match","","","","","*","",""
"PVTE","System_Reset_350mA_ASK","match","","","","","*","",""
"PVTE","Reopen_DUT_Port_350mA_ASK","match","","","","","*","",""
"PVTE","Enable_TX_LF_cap_350mA_ASK","match","","","","","*","",""
"PVTE","Set_boost_voltage_to_6.7V_350mA_ASK","match","","","","","*","",""
"PVTE","Enable_Boost_350mA_ASK","match","","","","","*","",""
"PVTE","Enable_inverter_at_326kHz_350mA_ASK","match","","","","","*","",""
"PVTE","Set_duty_cycle_350mA_ASK","match","","","","","*","",""
"PVTE","Enable_comm_caps_ZTN1_and_ZTP1_350mA_ASK","match","","","","","*","",""
"PVTE","Clear_serialiser_module_350mA_ASK","match","","","","","*","",""
"PVTE","Enable_serialiser_module_350mA_ASK","match","","","","","*","",""
"PVTE","Set_comm_rate_to_4kHz_350mA_ASK","match","","","","","*","",""
"PVTE","send_TX_com_to_wait_decode_packet_350mA_ASK","match","","","","","*","",""
"PVTE","flip_comm_cap_on_off_350mA_ASK","match","","","","","*","",""
"PVTE","Validate_ASKDP_350mA_ASK","","","","","","","",""
"PVTE","Read_Vrect_volotage_50mA_ASK","","","","","","","",""
"PVTE","Read_Vrect_volotage_245mA_ASK","","","","","","","",""
"PVTE","Read_Vrect_volotage_350mA_ASK","","","","","","","",""
"PVTE","Enable_CEP_Duty_logging","match","","","","","*","",""
"PVTE","Disable_CEP_Duty_logging","match","","","","","*","",""
"PVTE","PARSE_DUTY_50mA","match","","","","","*","",""
"PVTE","Enable_CEP_Duty_logging_245mA","match","","","","","*","",""
"PVTE","Disable_CEP_Duty_logging_245mA","match","","","","","*","",""
"PVTE","PARSE_DUTY_245mA","match","","","","","*","",""
"PVTE","Enable_CEP_Duty_logging_350mA","match","","","","","*","",""
"PVTE","Disable_CEP_Duty_logging_350mA","match","","","","","*","",""
"PVTE","PARSE_DUTY_350mA","match","","","","","*","",""
"PVTE","Disable_LF_Inverter_OpenLoop","match","","","","","*","",""
